tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 20.06; Travis County; Texas,2363,66946,138,1161,48,453,002006,1299,0.8937644341801386,1.0,2363.0,35,census_api
Census Tract 20.07; Travis County; Texas,2504,84773,494,936,48,453,002007,1430,0.6545454545454545,1.0,2504.0,35,census_api
Census Tract 21.04; Travis County; Texas,2589,112083,733,424,48,453,002104,1157,0.36646499567847884,1.0,2589.0,35,census_api
Census Tract 21.05; Travis County; Texas,4818,50078,327,1844,48,453,002105,2171,0.8493781667434362,1.0,4818.0,35,census_api
Census Tract 21.06; Travis County; Texas,3012,117125,1063,236,48,453,002106,1299,0.18167821401077752,1.0,3012.0,35,census_api
Census Tract 21.07; Travis County; Texas,4884,94812,1195,567,48,453,002107,1762,0.32179341657207716,1.0,4884.0,35,census_api
Census Tract 21.08; Travis County; Texas,4251,46850,743,1154,48,453,002108,1897,0.6083289404322615,1.0,4251.0,35,census_api
Census Tract 21.09; Travis County; Texas,4121,105819,1015,736,48,453,002109,1751,0.42033123929183325,1.0,4121.0,35,census_api
Census Tract 21.10; Travis County; Texas,4037,86944,724,678,48,453,002110,1402,0.48359486447931527,1.0,4037.0,35,census_api
Census Tract 21.11; Travis County; Texas,4835,84201,1021,1044,48,453,002111,2065,0.5055690072639225,1.0,4835.0,35,census_api
Census Tract 21.12; Travis County; Texas,6244,56029,717,1429,48,453,002112,2146,0.6658900279589934,1.0,6244.0,35,census_api
Census Tract 21.13; Travis County; Texas,3564,117014,990,328,48,453,002113,1318,0.2488619119878604,1.0,3564.0,35,census_api
Census Tract 22.01; Travis County; Texas,2720,66136,443,373,48,453,002201,816,0.4571078431372549,1.0,2720.0,35,census_api
Census Tract 22.11; Travis County; Texas,4700,93472,1022,494,48,453,002211,1516,0.3258575197889182,1.0,4700.0,35,census_api
Census Tract 22.13; Travis County; Texas,4776,82227,1306,237,48,453,002213,1543,0.15359688917692807,1.0,4776.0,35,census_api
Census Tract 22.14; Travis County; Texas,3986,74388,775,85,48,453,002214,860,0.09883720930232558,1.0,3986.0,35,census_api
Census Tract 22.15; Travis County; Texas,3646,68379,924,141,48,453,002215,1065,0.1323943661971831,1.0,3646.0,35,census_api
Census Tract 22.16; Travis County; Texas,9411,93667,2976,549,48,453,002216,3525,0.15574468085106383,1.0,9411.0,35,census_api
Census Tract 22.17; Travis County; Texas,6160,98576,1700,172,48,453,002217,1872,0.09188034188034189,1.0,6160.0,35,census_api
Census Tract 22.18; Travis County; Texas,5019,100868,1388,314,48,453,002218,1702,0.1844888366627497,1.0,5019.0,35,census_api
Census Tract 22.19; Travis County; Texas,6591,83553,1831,193,48,453,002219,2024,0.09535573122529645,1.0,6591.0,35,census_api
Census Tract 22.20; Travis County; Texas,3342,47027,265,664,48,453,002220,929,0.7147470398277718,1.0,3342.0,35,census_api
Census Tract 22.21; Travis County; Texas,2167,88500,366,350,48,453,002221,716,0.4888268156424581,1.0,2167.0,35,census_api
Census Tract 22.22; Travis County; Texas,3138,58405,593,534,48,453,002222,1127,0.4738243123336291,1.0,3138.0,35,census_api
Census Tract 23.04; Travis County; Texas,3850,101058,72,2698,48,453,002304,2770,0.9740072202166065,1.0,3850.0,35,census_api
Census Tract 23.07; Travis County; Texas,4844,54338,598,2216,48,453,002307,2814,0.7874911158493249,1.0,4844.0,35,census_api
Census Tract 23.10; Travis County; Texas,2858,56214,500,434,48,453,002310,934,0.46466809421841543,1.0,2858.0,35,census_api
Census Tract 23.13; Travis County; Texas,3730,51175,275,1586,48,453,002313,1861,0.8522299838796346,1.0,3730.0,35,census_api
Census Tract 23.14; Travis County; Texas,5527,61875,189,2650,48,453,002314,2839,0.9334272631208171,1.0,5527.0,35,census_api
Census Tract 23.15; Travis County; Texas,2622,47314,327,1225,48,453,002315,1552,0.7893041237113402,1.0,2622.0,35,census_api
Census Tract 23.16; Travis County; Texas,4563,44300,12,2286,48,453,002316,2298,0.9947780678851175,1.0,4563.0,35,census_api
Census Tract 23.20; Travis County; Texas,3987,78093,594,970,48,453,002320,1564,0.6202046035805626,1.0,3987.0,35,census_api
Census Tract 23.21; Travis County; Texas,3837,61184,804,722,48,453,002321,1526,0.47313237221494103,1.0,3837.0,35,census_api
