tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 2513; Harris County; Texas,6844,111450,2075,266,48,201,251300,2341,0.11362665527552328,1.0,6844.0,35,census_api
Census Tract 2514.01; Harris County; Texas,3065,138558,729,90,48,201,251401,819,0.10989010989010989,1.0,3065.0,35,census_api
Census Tract 2514.02; Harris County; Texas,6952,53694,1534,1042,48,201,251402,2576,0.4045031055900621,1.0,6952.0,35,census_api
Census Tract 2515.01; Harris County; Texas,5716,156797,1715,58,48,201,251501,1773,0.032712915961646924,1.0,5716.0,35,census_api
Census Tract 2515.03; Harris County; Texas,2790,140588,603,247,48,201,251503,850,0.29058823529411765,1.0,2790.0,35,census_api
Census Tract 2515.04; Harris County; Texas,5100,155417,1679,63,48,201,251504,1742,0.03616532721010333,1.0,5100.0,35,census_api
Census Tract 2515.05; Harris County; Texas,3811,164322,1312,172,48,201,251505,1484,0.11590296495956873,1.0,3811.0,35,census_api
Census Tract 2516; Harris County; Texas,6842,89516,1887,191,48,201,251600,2078,0.09191530317613089,1.0,6842.0,35,census_api
Census Tract 2517.01; Harris County; Texas,3400,72171,1126,103,48,201,251701,1229,0.0838079739625712,1.0,3400.0,35,census_api
Census Tract 2517.02; Harris County; Texas,3443,65556,886,404,48,201,251702,1290,0.31317829457364343,1.0,3443.0,35,census_api
Census Tract 2518; Harris County; Texas,1656,91250,553,64,48,201,251800,617,0.10372771474878444,1.0,1656.0,35,census_api
Census Tract 2519.02; Harris County; Texas,7676,117528,2149,290,48,201,251902,2439,0.11890118901189012,1.0,7676.0,35,census_api
Census Tract 2519.03; Harris County; Texas,4204,95903,1490,131,48,201,251903,1621,0.08081431215299198,1.0,4204.0,35,census_api
Census Tract 2519.04; Harris County; Texas,6969,112076,1818,243,48,201,251904,2061,0.11790393013100436,1.0,6969.0,35,census_api
Census Tract 2520.01; Harris County; Texas,7775,95479,1727,1021,48,201,252001,2748,0.3715429403202329,1.0,7775.0,35,census_api
Census Tract 2520.02; Harris County; Texas,5682,113761,1462,293,48,201,252002,1755,0.16695156695156696,1.0,5682.0,35,census_api
Census Tract 2520.03; Harris County; Texas,10659,159925,3041,316,48,201,252003,3357,0.09413166517724159,1.0,10659.0,35,census_api
Census Tract 2521; Harris County; Texas,3142,60500,730,156,48,201,252100,886,0.17607223476297967,1.0,3142.0,35,census_api
Census Tract 2522.01; Harris County; Texas,5397,58951,893,984,48,201,252201,1877,0.5242408098028769,1.0,5397.0,35,census_api
Census Tract 2522.02; Harris County; Texas,6817,71153,1345,500,48,201,252202,1845,0.27100271002710025,1.0,6817.0,35,census_api
Census Tract 2523.03; Harris County; Texas,5031,87381,1057,225,48,201,252303,1282,0.17550702028081122,1.0,5031.0,35,census_api
Census Tract 2523.04; Harris County; Texas,4040,63750,833,431,48,201,252304,1264,0.34098101265822783,1.0,4040.0,35,census_api
Census Tract 2523.05; Harris County; Texas,6751,95215,1835,109,48,201,252305,1944,0.05606995884773663,1.0,6751.0,35,census_api
Census Tract 2523.06; Harris County; Texas,10080,64457,1954,474,48,201,252306,2428,0.19522240527182866,1.0,10080.0,35,census_api
Census Tract 2524; Harris County; Texas,6197,64631,1414,590,48,201,252400,2004,0.2944111776447106,1.0,6197.0,35,census_api
Census Tract 2525; Harris County; Texas,4821,52412,880,552,48,201,252500,1432,0.3854748603351955,1.0,4821.0,35,census_api
Census Tract 2526.01; Harris County; Texas,3547,33472,771,359,48,201,252601,1130,0.3176991150442478,1.0,3547.0,35,census_api
Census Tract 2526.02; Harris County; Texas,3808,-666666666,807,281,48,201,252602,1088,0.25827205882352944,1.0,3808.0,35,census_api
Census Tract 2527; Harris County; Texas,4282,59688,1175,617,48,201,252700,1792,0.3443080357142857,1.0,4282.0,35,census_api
Census Tract 2528; Harris County; Texas,6525,63652,1730,619,48,201,252800,2349,0.26351638995317156,1.0,6525.0,35,census_api
Census Tract 2529.01; Harris County; Texas,2282,63958,695,204,48,201,252901,899,0.22691879866518352,1.0,2282.0,35,census_api
Census Tract 2529.02; Harris County; Texas,6360,71838,1600,357,48,201,252902,1957,0.18242207460398568,1.0,6360.0,35,census_api
Census Tract 2530; Harris County; Texas,4915,51432,1024,741,48,201,253000,1765,0.4198300283286119,1.0,4915.0,35,census_api
