tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 25.02; Miami-Dade County; Florida,3396,39444,409,745,12,086,002502,1154,0.645580589254766,1.0,3396.0,35,census_api
Census Tract 26; Miami-Dade County; Florida,6782,70764,588,2168,12,086,002600,2756,0.7866473149492017,1.0,6782.0,35,census_api
Census Tract 27.02; Miami-Dade County; Florida,5228,64336,119,2101,12,086,002702,2220,0.9463963963963964,1.0,5228.0,35,census_api
Census Tract 27.05; Miami-Dade County; Florida,4638,68848,416,1678,12,086,002705,2094,0.8013371537726839,1.0,4638.0,35,census_api
Census Tract 27.07; Miami-Dade County; Florida,2100,82467,494,757,12,086,002707,1251,0.6051159072741806,1.0,2100.0,35,census_api
Census Tract 27.08; Miami-Dade County; Florida,2636,70443,323,1123,12,086,002708,1446,0.7766251728907331,1.0,2636.0,35,census_api
Census Tract 27.09; Miami-Dade County; Florida,4070,120774,1082,1511,12,086,002709,2593,0.5827227150019283,1.0,4070.0,35,census_api
Census Tract 27.10; Miami-Dade County; Florida,1826,113082,581,604,12,086,002710,1185,0.509704641350211,1.0,1826.0,35,census_api
Census Tract 28; Miami-Dade County; Florida,1071,29766,8,469,12,086,002800,477,0.9832285115303984,1.0,1071.0,35,census_api
Census Tract 29; Miami-Dade County; Florida,5672,37054,356,1309,12,086,002900,1665,0.7861861861861862,1.0,5672.0,35,census_api
Census Tract 30.01; Miami-Dade County; Florida,2944,20515,263,1118,12,086,003001,1381,0.8095582910934106,1.0,2944.0,35,census_api
Census Tract 30.04; Miami-Dade County; Florida,5639,25055,78,2247,12,086,003004,2325,0.9664516129032258,1.0,5639.0,35,census_api
Census Tract 30.05; Miami-Dade County; Florida,1379,33856,85,565,12,086,003005,650,0.8692307692307693,1.0,1379.0,35,census_api
Census Tract 30.06; Miami-Dade County; Florida,4405,30592,241,1494,12,086,003006,1735,0.8610951008645533,1.0,4405.0,35,census_api
Census Tract 31; Miami-Dade County; Florida,5896,31311,282,1546,12,086,003100,1828,0.8457330415754923,1.0,5896.0,35,census_api
Census Tract 34; Miami-Dade County; Florida,3349,33450,12,1691,12,086,003400,1703,0.992953611274222,1.0,3349.0,35,census_api
Census Tract 36.03; Miami-Dade County; Florida,1676,41056,74,823,12,086,003603,897,0.9175027870680045,1.0,1676.0,35,census_api
Census Tract 36.04; Miami-Dade County; Florida,2847,60281,82,1160,12,086,003604,1242,0.9339774557165862,1.0,2847.0,35,census_api
Census Tract 36.05; Miami-Dade County; Florida,2773,27610,183,1371,12,086,003605,1554,0.8822393822393823,1.0,2773.0,35,census_api
Census Tract 36.06; Miami-Dade County; Florida,2012,17205,0,1251,12,086,003606,1251,1.0,1.0,2012.0,35,census_api
Census Tract 36.07; Miami-Dade County; Florida,1942,27565,119,785,12,086,003607,904,0.8683628318584071,1.0,1942.0,35,census_api
Census Tract 37.03; Miami-Dade County; Florida,3067,119111,476,1202,12,086,003703,1678,0.7163289630512515,1.0,3067.0,35,census_api
Census Tract 37.04; Miami-Dade County; Florida,1475,71250,84,954,12,086,003704,1038,0.9190751445086706,1.0,1475.0,35,census_api
Census Tract 37.05; Miami-Dade County; Florida,1746,94600,406,612,12,086,003705,1018,0.6011787819253438,1.0,1746.0,35,census_api
Census Tract 37.06; Miami-Dade County; Florida,1491,57885,0,364,12,086,003706,364,1.0,1.0,1491.0,35,census_api
Census Tract 37.07; Miami-Dade County; Florida,1694,112000,236,864,12,086,003707,1100,0.7854545454545454,1.0,1694.0,35,census_api
Census Tract 37.08; Miami-Dade County; Florida,1094,96481,241,409,12,086,003708,650,0.6292307692307693,1.0,1094.0,35,census_api
Census Tract 37.09; Miami-Dade County; Florida,1402,57007,107,657,12,086,003709,764,0.8599476439790575,1.0,1402.0,35,census_api
Census Tract 37.10; Miami-Dade County; Florida,6857,100360,515,2649,12,086,003710,3164,0.8372313527180784,1.0,6857.0,35,census_api
Census Tract 38.01; Miami-Dade County; Florida,5897,73200,1018,1218,12,086,003801,2236,0.5447227191413238,1.0,5897.0,35,census_api
Census Tract 38.03; Miami-Dade County; Florida,3035,86172,972,353,12,086,003803,1325,0.2664150943396226,1.0,3035.0,35,census_api
Census Tract 38.04; Miami-Dade County; Florida,5625,73160,1347,758,12,086,003804,2105,0.36009501187648457,1.0,5625.0,35,census_api
Census Tract 39.06; Miami-Dade County; Florida,2704,210469,801,95,12,086,003906,896,0.10602678571428571,1.0,2704.0,35,census_api
Census Tract 39.09; Miami-Dade County; Florida,1508,42667,129,671,12,086,003909,800,0.83875,1.0,1508.0,35,census_api
Census Tract 39.11; Miami-Dade County; Florida,4571,46458,727,1298,12,086,003911,2025,0.6409876543209877,1.0,4571.0,35,census_api
Census Tract 39.12; Miami-Dade County; Florida,4131,51085,352,1406,12,086,003912,1758,0.7997724687144482,1.0,4131.0,35,census_api
Census Tract 39.13; Miami-Dade County; Florida,3253,47222,604,1288,12,086,003913,1892,0.6807610993657506,1.0,3253.0,35,census_api
Census Tract 39.14; Miami-Dade County; Florida,3664,52083,748,1425,12,086,003914,2173,0.6557754256787851,1.0,3664.0,35,census_api
Census Tract 39.15; Miami-Dade County; Florida,5157,64063,862,1318,12,086,003915,2180,0.6045871559633027,1.0,5157.0,35,census_api
Census Tract 39.16; Miami-Dade County; Florida,4176,65713,599,1238,12,086,003916,1837,0.6739248775176919,1.0,4176.0,35,census_api
Census Tract 39.17; Miami-Dade County; Florida,5246,71379,788,1300,12,086,003917,2088,0.6226053639846744,1.0,5246.0,35,census_api
Census Tract 39.18; Miami-Dade County; Florida,2778,83375,452,855,12,086,003918,1307,0.6541698546289212,1.0,2778.0,35,census_api
Census Tract 39.19; Miami-Dade County; Florida,2536,111583,756,456,12,086,003919,1212,0.37623762376237624,1.0,2536.0,35,census_api
Census Tract 39.21; Miami-Dade County; Florida,3111,105174,794,533,12,086,003921,1327,0.40165787490580257,1.0,3111.0,35,census_api
Census Tract 39.22; Miami-Dade County; Florida,2355,95278,421,567,12,086,003922,988,0.5738866396761133,1.0,2355.0,35,census_api
Census Tract 40; Miami-Dade County; Florida,4553,124504,1209,320,12,086,004000,1529,0.2092871157619359,1.0,4553.0,35,census_api
Census Tract 41.02; Miami-Dade County; Florida,2473,181875,984,196,12,086,004102,1180,0.16610169491525423,1.0,2473.0,35,census_api
Census Tract 41.03; Miami-Dade County; Florida,2196,42238,269,1038,12,086,004103,1307,0.7941851568477429,1.0,2196.0,35,census_api
